ULTRACONSERVADOR,Mín,Neutro,Máx ,,,,,,,,,,,,
RV Brasil,5%,10%,15%,,RV Brasil,10%,10%,15%,,RV Brasil,15%,15%,25%,,
Ações,5%,10%,15%,,Ações,0%,5%,10%,,Ações,0%,5%,10%,,
FIIs,0%,0%,5%,,FIIs,5%,5%,15%,,FIIs,5%,10%,25%,,
Internacional ,5%,10%,15%,,Internacional ,5%,10%,15%,,Internacional ,5%,10%,15%,,
Renda Fixa,0%,5%,15%,,Renda Fixa,0%,5%,15%,,Renda Fixa,0%,5%,15%,,
Renda Variável,0%,5%,15%,,Renda Variável,0%,5%,15%,,Renda Variável,0%,5%,15%,,
"Alternativos,""2,5%"",5%,""7,5%"",,Alternativos,0%,""2,5%"",5%,,Alternativos,0%,0%,5%,,"
,,,,,,,,,,,,,,,
ARROJADO,Mín,Neutro,Máx ,,ARROJADO RENDA CONSTRUÇÃO,Mín,Neutro,Máx ,,ARROJADO RENDA USUFRUTO,Mín,Neutro,Máx ,,
"RF Pós ,""2,5%"",20%,25%,,RF Pós ,""2,5%"",20%,25%,,RF Pós ,10%,30%,25%,,"
"Fundos de Invest.,""2,5%"",20%,25%,,Fundos de Invest.,""2,5%"",20%,25%,,Fundos de Invest.,0%,20%,20%,,"
Imediato,10%,10%,20%,,Imediato,10%,10%,20%,,Imediato,10%,10%,20%,,
1 a 30 dias,0%,10%,10%,,1 a 30 dias,0%,10%,10%,,1 a 30 dias,0%,10%,10%,,
31 a 180 dias,0%,0%,0%,,31 a 180 dias,0%,0%,0%,,31 a 180 dias,0%,0%,0%,,
181 a 360 dias,0%,0%,0%,,181 a 360 dias,0%,0%,0%,,181 a 360 dias,0%,0%,0%,,
361+ dias,0%,0%,0%,,361+ dias,0%,0%,0%,,361+ dias,0%,0%,0%,,
FiInfra e Cetipados,0%,0%,0%,,FiInfra e Cetipados,0%,0%,0%,,FiInfra e Cetipados,0%,10%,20%,,
"RF Pré,""2,5%"",5%,""7,5%"",,RF Pré,""2,5%"",5%,""7,5%"",,RF Pré,0%,0%,5%,,"
"Bancário,0%,""2,5%"",5%,,Bancário,0%,""2,5%"",5%,,Bancário,0%,0%,5%,,"
"Tesouro,0%,""2,5%"",5%,,Tesouro,0%,""2,5%"",5%,,Tesouro,0%,0%,5%,,"
RF Inflação,5.0%,15.0%,20.0%,,RF Inflação,15.0%,15.0%,20.0%,,RF Inflação,20.0%,20.0%,30.0%,,
Bancário,0.0%,5.0%,10.0%,,Bancário,0.0%,0.0%,0.0%,,Bancário,0.0%,0.0%,0.0%,,
Tesouro,0.0%,5.0%,10.0%,,Tesouro,0.0%,0.0%,0.0%,,Tesouro,0.0%,0.0%,0.0%,,
FiInfra e Cetipado,0.0%,0.0%,0.0%,,FiInfra e Cetipado,5.0%,15.0%,20.0%,,FiInfra e Cetipado,5.0%,25.0%,30.0%,,
Crédito Privado,0.0%,5.0%,10.0%,,Crédito Privado,0.0%,0.0%,0.0%,,Crédito Privado,0.0%,0.0%,0.0%,,
Multimercados,0%,5%,10%,,Multimercados,0%,5%,10%,,Multimercados,0%,0%,5%,,
RV Brasil,25%,25%,45%,,RV Brasil,25%,25%,45%,,RV Brasil,30%,30%,45%,,
Ações,25%,25%,45%,,Ações,0%,5%,15%,,Ações,5%,10%,15%,,
FIIs,0%,0%,0%,,FIIs,15%,20%,45%,,FIIs,15%,20%,45%,,
Internacional ,25%,25%,45%,,Internacional ,25%,25%,45%,,Internacional ,20%,20%,45%,,
Renda Fixa,5%,10%,20%,,Renda Fixa,5%,10%,20%,,Renda Fixa,5%,10%,20%,,
Renda Variável,5%,15%,40%,,Renda Variável,5%,15%,40%,,Renda Variável,5%,10%,40%,,
"Alternativos,""2,5%"",5%,""7,5%"",,Alternativos,""2,5%"",5%,""7,5%"",,Alternativos,0%,0%,5%,,"
